match_id,date,kickoff_utc,stage,is_knockout,home_team,away_team,p_home,p_draw,p_away,pick,pick_conf,home_progress,away_progress,progress_pick,progress_conf,advanced,completed,actual,actual_score,correct
46,2026-06-23,18:00,Group Stage,False,Colombia,Congo DR,0.5896,0.2656,0.1448,H,0.5896,,,,,,True,H,1-0,True
47,2026-06-23,21:00,Group Stage,False,England,Ghana,0.7291,0.1845,0.0864,H,0.7291,,,,,,True,D,0-0,False
48,2026-06-23,23:59,Group Stage,False,Panama,Croatia,0.2341,0.2358,0.5301,A,0.5301,,,,,,True,A,0-1,True
49,2026-06-24,18:00,Group Stage,False,Czechia,Mexico,0.2623,0.3124,0.4253,A,0.4253,,,,,,True,A,0-3,True
50,2026-06-24,18:00,Group Stage,False,South Africa,South Korea,0.2362,0.273,0.4908,A,0.4908,,,,,,True,H,1-0,False
51,2026-06-24,22:00,Group Stage,False,Switzerland,Canada,0.504,0.2602,0.2359,H,0.504,,,,,,True,H,2-1,True
52,2026-06-24,22:00,Group Stage,False,Bosnia and Herzegovina,Qatar,0.4432,0.2476,0.3092,H,0.4432,,,,,,True,H,3-1,True
53,2026-06-25,18:00,Group Stage,False,Scotland,Brazil,0.1083,0.2076,0.6841,A,0.6841,,,,,,True,A,0-3,True
54,2026-06-25,18:00,Group Stage,False,Morocco,Haiti,0.7589,0.1653,0.0758,H,0.7589,,,,,,True,H,4-2,True
55,2026-06-25,22:00,Group Stage,False,Türkiye,USA,0.403,0.2593,0.3377,H,0.403,,,,,,True,H,3-2,True
56,2026-06-25,22:00,Group Stage,False,Paraguay,Australia,0.2669,0.3102,0.4229,A,0.4229,,,,,,True,D,0-0,False
57,2026-06-26,18:00,Group Stage,False,Ecuador,Germany,0.2922,0.2923,0.4155,A,0.4155,,,,,,True,H,2-1,False
58,2026-06-26,18:00,Group Stage,False,Curaçao,Côte d'Ivoire,0.1204,0.225,0.6546,A,0.6546,,,,,,True,A,0-2,True
59,2026-06-26,22:00,Group Stage,False,Tunisia,Netherlands,0.1033,0.1635,0.7331,A,0.7331,,,,,,True,A,1-3,True
60,2026-06-26,22:00,Group Stage,False,Japan,Sweden,0.6243,0.1983,0.1774,H,0.6243,,,,,,True,D,1-1,False
65,2026-06-26,18:00,Group Stage,False,Norway,France,0.257,0.2286,0.5144,A,0.5144,,,,,,True,A,1-4,True
66,2026-06-26,18:00,Group Stage,False,Senegal,Iraq,0.6196,0.2336,0.1468,H,0.6196,,,,,,True,H,5-0,True
61,2026-06-27,18:00,Group Stage,False,New Zealand,Belgium,0.1038,0.1545,0.7417,A,0.7417,,,,,,True,A,1-5,True
62,2026-06-27,18:00,Group Stage,False,Egypt,IR Iran,0.3428,0.323,0.3341,H,0.3428,,,,,,True,D,1-1,False
63,2026-06-27,22:00,Group Stage,False,Uruguay,Spain,0.1781,0.2741,0.5477,A,0.5477,,,,,,True,A,0-1,True
64,2026-06-27,22:00,Group Stage,False,Cabo Verde,Saudi Arabia,0.3754,0.3517,0.273,H,0.3754,,,,,,True,D,0-0,False
67,2026-06-27,22:00,Group Stage,False,Jordan,Argentina,0.0463,0.1297,0.824,A,0.824,,,,,,True,A,1-3,True
68,2026-06-27,22:00,Group Stage,False,Algeria,Austria,0.3585,0.2717,0.3698,A,0.3698,,,,,,True,D,3-3,False
69,2026-06-28,18:00,Group Stage,False,Colombia,Portugal,0.3529,0.2927,0.3544,A,0.3544,,,,,,True,D,0-0,False
70,2026-06-28,18:00,Group Stage,False,Congo DR,Uzbekistan,0.5196,0.29,0.1903,H,0.5196,,,,,,True,H,3-1,True
71,2026-06-28,22:00,Group Stage,False,Panama,England,0.0991,0.1998,0.7011,A,0.7011,,,,,,True,A,0-2,True
72,2026-06-28,22:00,Group Stage,False,Croatia,Ghana,0.5429,0.2607,0.1964,H,0.5429,,,,,,True,H,2-1,True
73,2026-06-29,12:00,Round of 32,True,South Africa,Canada,0.2234,0.2909,0.4857,A,0.4857,0.3425,0.6575,Canada,0.6575,Canada,True,A,0-1,True
74,2026-06-29,23:00,Round of 32,True,Brazil,Japan,0.5021,0.2648,0.2331,H,0.5021,0.6582,0.3418,Brazil,0.6582,Brazil,True,H,2-1,True
75,2026-06-30,02:30,Round of 32,True,Germany,Paraguay,0.5864,0.231,0.1826,H,0.5864,0.7329,0.2671,Germany,0.7329,Paraguay,True,D,1-1,False
76,2026-06-30,07:00,Round of 32,True,Netherlands,Morocco,0.3541,0.2905,0.3554,A,0.3554,0.4992,0.5008,Morocco,0.5008,Morocco,True,D,1-1,True
77,2026-06-30,23:00,Round of 32,True,Côte d'Ivoire,Norway,0.3392,0.2599,0.4009,A,0.4009,0.464,0.536,Norway,0.536,Norway,True,A,1-2,True
78,2026-07-01,03:00,Round of 32,True,France,Sweden,0.759,0.1499,0.0912,H,0.759,0.8685,0.1315,France,0.8685,France,True,H,3-0,True
79,2026-07-01,07:00,Round of 32,True,Mexico,Ecuador,0.4632,0.3675,0.1693,H,0.4632,0.6898,0.3102,Mexico,0.6898,Mexico,True,H,2-0,True
