match_id,date,kickoff_utc,stage,is_knockout,home_team,away_team,completed,p_home,p_draw,p_away,pick,pick_conf,home_progress,away_progress,progress_pick,progress_conf,actual,actual_score,correct
68,2026-06-27,22:00,Group Stage,False,Algeria,Austria,True,0.3396,0.3109,0.3495,A,0.3495,,,,,D,3-3,False
69,2026-06-28,18:00,Group Stage,False,Colombia,Portugal,True,0.3588,0.3167,0.3245,H,0.3588,,,,,D,0-0,False
70,2026-06-28,18:00,Group Stage,False,Congo DR,Uzbekistan,True,0.2881,0.3036,0.4083,A,0.4083,,,,,H,3-1,False
71,2026-06-28,22:00,Group Stage,False,Panama,England,True,0.1504,0.258,0.5916,A,0.5916,,,,,A,0-2,True
72,2026-06-28,22:00,Group Stage,False,Croatia,Ghana,True,0.7102,0.1987,0.0911,H,0.7102,,,,,H,2-1,True
73,2026-06-29,12:00,Round of 32,True,South Africa,Canada,True,0.1505,0.2509,0.5986,A,0.5986,0.2474,0.7526,Canada,0.7526,A,0-1,True
74,2026-06-29,23:00,Round of 32,True,Brazil,Japan,True,0.4174,0.3102,0.2724,H,0.4174,0.5833,0.4167,Brazil,0.5833,H,2-1,True
75,2026-06-30,02:30,Round of 32,True,Germany,Paraguay,True,0.4308,0.3057,0.2635,H,0.4308,0.596,0.404,Germany,0.596,D,1-1,False
76,2026-06-30,07:00,Round of 32,True,Netherlands,Morocco,True,0.3678,0.3143,0.3179,H,0.3678,0.5288,0.4712,Netherlands,0.5288,D,1-1,False
77,2026-06-30,23:00,Round of 32,True,Côte d'Ivoire,Norway,True,0.2063,0.2854,0.5083,A,0.5083,0.3278,0.6722,Norway,0.6722,A,1-2,True
78,2026-07-01,03:00,Round of 32,True,France,Sweden,True,0.7136,0.1991,0.0873,H,0.7136,0.8465,0.1535,France,0.8465,H,3-0,True
79,2026-07-01,07:00,Round of 32,True,Mexico,Ecuador,True,0.2972,0.3127,0.39,A,0.39,0.4466,0.5534,Ecuador,0.5534,H,2-0,False
